2025-10-24 23:10:16 [INFO] 
======================================================================
Preparing balanced molecular descriptor data for Autoencoder training
======================================================================
2025-10-24 23:10:43 [INFO] \u2705 Data prepared: 41120 samples ¡Á 4 features
2025-10-24 23:10:43 [INFO] 
======================================================================
Training Autoencoder
======================================================================
2025-10-24 23:10:46 [INFO] Epoch [1/50] Train Loss: 0.28146 | Eval Loss: 0.15751
2025-10-24 23:10:48 [INFO] Epoch [2/50] Train Loss: 0.14187 | Eval Loss: 0.14855
2025-10-24 23:10:50 [INFO] Epoch [3/50] Train Loss: 0.13549 | Eval Loss: 0.14461
2025-10-24 23:10:51 [INFO] Epoch [4/50] Train Loss: 0.13171 | Eval Loss: 0.14570
2025-10-24 23:10:53 [INFO] Epoch [5/50] Train Loss: 0.12875 | Eval Loss: 0.13876
2025-10-24 23:10:55 [INFO] Epoch [6/50] Train Loss: 0.12606 | Eval Loss: 0.13550
2025-10-24 23:10:56 [INFO] Epoch [7/50] Train Loss: 0.12363 | Eval Loss: 0.13277
2025-10-24 23:10:58 [INFO] Epoch [8/50] Train Loss: 0.12166 | Eval Loss: 0.13348
2025-10-24 23:11:00 [INFO] Epoch [9/50] Train Loss: 0.11961 | Eval Loss: 0.13068
2025-10-24 23:11:01 [INFO] Epoch [10/50] Train Loss: 0.11809 | Eval Loss: 0.13066
2025-10-24 23:11:03 [INFO] Epoch [11/50] Train Loss: 0.11697 | Eval Loss: 0.13016
2025-10-24 23:11:05 [INFO] Epoch [12/50] Train Loss: 0.11545 | Eval Loss: 0.13197
2025-10-24 23:11:07 [INFO] Epoch [13/50] Train Loss: 0.11490 | Eval Loss: 0.12779
2025-10-24 23:11:08 [INFO] Epoch [14/50] Train Loss: 0.11278 | Eval Loss: 0.12659
2025-10-24 23:11:10 [INFO] Epoch [15/50] Train Loss: 0.11236 | Eval Loss: 0.12713
2025-10-24 23:11:12 [INFO] Epoch [16/50] Train Loss: 0.11162 | Eval Loss: 0.12658
2025-10-24 23:11:14 [INFO] Epoch [17/50] Train Loss: 0.11068 | Eval Loss: 0.12379
2025-10-24 23:11:16 [INFO] Epoch [18/50] Train Loss: 0.11002 | Eval Loss: 0.12294
2025-10-24 23:11:17 [INFO] Epoch [19/50] Train Loss: 0.10921 | Eval Loss: 0.12653
2025-10-24 23:11:19 [INFO] Epoch [20/50] Train Loss: 0.10856 | Eval Loss: 0.12584
2025-10-24 23:11:22 [INFO] Epoch [21/50] Train Loss: 0.10783 | Eval Loss: 0.12444
2025-10-24 23:11:24 [INFO] Epoch [22/50] Train Loss: 0.10726 | Eval Loss: 0.12137
2025-10-24 23:11:26 [INFO] Epoch [23/50] Train Loss: 0.10656 | Eval Loss: 0.12092
2025-10-24 23:11:27 [INFO] Epoch [24/50] Train Loss: 0.10630 | Eval Loss: 0.12204
2025-10-24 23:11:29 [INFO] Epoch [25/50] Train Loss: 0.10598 | Eval Loss: 0.12158
2025-10-24 23:11:31 [INFO] Epoch [26/50] Train Loss: 0.10513 | Eval Loss: 0.11972
2025-10-24 23:11:32 [INFO] Epoch [27/50] Train Loss: 0.10407 | Eval Loss: 0.11633
2025-10-24 23:11:34 [INFO] Epoch [28/50] Train Loss: 0.10384 | Eval Loss: 0.11535
2025-10-24 23:11:36 [INFO] Epoch [29/50] Train Loss: 0.10324 | Eval Loss: 0.12367
2025-10-24 23:11:38 [INFO] Epoch [30/50] Train Loss: 0.10257 | Eval Loss: 0.11573
2025-10-24 23:11:39 [INFO] Epoch [31/50] Train Loss: 0.10229 | Eval Loss: 0.11674
2025-10-24 23:11:41 [INFO] Epoch [32/50] Train Loss: 0.10499 | Eval Loss: 0.11859
2025-10-24 23:11:43 [INFO] Epoch [33/50] Train Loss: 0.10209 | Eval Loss: 0.11684
2025-10-24 23:11:45 [INFO] Epoch [34/50] Train Loss: 0.10124 | Eval Loss: 0.11748
2025-10-24 23:11:46 [INFO] Epoch [35/50] Train Loss: 0.10083 | Eval Loss: 0.11619
2025-10-24 23:11:48 [INFO] Epoch [36/50] Train Loss: 0.10197 | Eval Loss: 0.11593
2025-10-24 23:11:50 [INFO] Epoch [37/50] Train Loss: 0.09996 | Eval Loss: 0.11644
2025-10-24 23:11:52 [INFO] Epoch [38/50] Train Loss: 0.09995 | Eval Loss: 0.11425
2025-10-24 23:11:53 [INFO] Epoch [39/50] Train Loss: 0.09919 | Eval Loss: 0.11410
2025-10-24 23:11:55 [INFO] Epoch [40/50] Train Loss: 0.09832 | Eval Loss: 0.11392
2025-10-24 23:11:57 [INFO] Epoch [41/50] Train Loss: 0.09871 | Eval Loss: 0.11546
2025-10-24 23:11:58 [INFO] Epoch [42/50] Train Loss: 0.09798 | Eval Loss: 0.10906
2025-10-24 23:12:00 [INFO] Epoch [43/50] Train Loss: 0.09884 | Eval Loss: 0.11151
2025-10-24 23:12:02 [INFO] Epoch [44/50] Train Loss: 0.09809 | Eval Loss: 0.11302
2025-10-24 23:12:04 [INFO] Epoch [45/50] Train Loss: 0.09813 | Eval Loss: 0.11197
2025-10-24 23:12:05 [INFO] Epoch [46/50] Train Loss: 0.09688 | Eval Loss: 0.11170
2025-10-24 23:12:07 [INFO] Epoch [47/50] Train Loss: 0.09707 | Eval Loss: 0.10964
2025-10-24 23:12:09 [INFO] Epoch [48/50] Train Loss: 0.09691 | Eval Loss: 0.11073
2025-10-24 23:12:11 [INFO] Epoch [49/50] Train Loss: 0.09653 | Eval Loss: 0.11132
2025-10-24 23:12:13 [INFO] Epoch [50/50] Train Loss: 0.09629 | Eval Loss: 0.10718
2025-10-24 23:12:13 [INFO] \u2705 Training complete. Model saved to Models\autoencoder_balanced.pth
2025-10-24 23:12:13 [INFO] 
======================================================================
Extracting latent features
======================================================================
2025-10-24 23:12:13 [INFO] Latent feature shape: (41120, 2)
2025-10-24 23:14:24 [INFO] [Saved] Figure/autoencoder_balanced_tsne.png
2025-10-24 23:14:24 [INFO] 
======================================================================
Running HDBSCAN clustering on Autoencoder latent features
======================================================================
2025-10-24 23:14:27 [INFO] Cluster -1: 19900 molecules
2025-10-24 23:14:27 [INFO] Cluster 0: 69 molecules
2025-10-24 23:14:27 [INFO] Cluster 1: 73 molecules
2025-10-24 23:14:27 [INFO] Cluster 2: 85 molecules
2025-10-24 23:14:27 [INFO] Cluster 3: 86 molecules
2025-10-24 23:14:27 [INFO] Cluster 4: 211 molecules
2025-10-24 23:14:27 [INFO] Cluster 5: 58 molecules
2025-10-24 23:14:27 [INFO] Cluster 6: 105 molecules
2025-10-24 23:14:27 [INFO] Cluster 7: 529 molecules
2025-10-24 23:14:27 [INFO] Cluster 8: 61 molecules
2025-10-24 23:14:27 [INFO] Cluster 9: 74 molecules
2025-10-24 23:14:27 [INFO] Cluster 10: 75 molecules
2025-10-24 23:14:27 [INFO] Cluster 11: 76 molecules
2025-10-24 23:14:27 [INFO] Cluster 12: 82 molecules
2025-10-24 23:14:27 [INFO] Cluster 13: 53 molecules
2025-10-24 23:14:27 [INFO] Cluster 14: 71 molecules
2025-10-24 23:14:27 [INFO] Cluster 15: 103 molecules
2025-10-24 23:14:27 [INFO] Cluster 16: 70 molecules
2025-10-24 23:14:27 [INFO] Cluster 17: 59 molecules
2025-10-24 23:14:27 [INFO] Cluster 18: 85 molecules
2025-10-24 23:14:27 [INFO] Cluster 19: 75 molecules
2025-10-24 23:14:27 [INFO] Cluster 20: 96 molecules
2025-10-24 23:14:27 [INFO] Cluster 21: 65 molecules
2025-10-24 23:14:27 [INFO] Cluster 22: 915 molecules
2025-10-24 23:14:27 [INFO] Cluster 23: 71 molecules
2025-10-24 23:14:27 [INFO] Cluster 24: 172 molecules
2025-10-24 23:14:27 [INFO] Cluster 25: 143 molecules
2025-10-24 23:14:27 [INFO] Cluster 26: 71 molecules
2025-10-24 23:14:27 [INFO] Cluster 27: 75 molecules
2025-10-24 23:14:27 [INFO] Cluster 28: 143 molecules
2025-10-24 23:14:27 [INFO] Cluster 29: 66 molecules
2025-10-24 23:14:27 [INFO] Cluster 30: 159 molecules
2025-10-24 23:14:27 [INFO] Cluster 31: 66 molecules
2025-10-24 23:14:27 [INFO] Cluster 32: 98 molecules
2025-10-24 23:14:27 [INFO] Cluster 33: 63 molecules
2025-10-24 23:14:27 [INFO] Cluster 34: 52 molecules
2025-10-24 23:14:27 [INFO] Cluster 35: 96 molecules
2025-10-24 23:14:27 [INFO] Cluster 36: 69 molecules
2025-10-24 23:14:27 [INFO] Cluster 37: 66 molecules
2025-10-24 23:14:27 [INFO] Cluster 38: 392 molecules
2025-10-24 23:14:27 [INFO] Cluster 39: 102 molecules
2025-10-24 23:14:27 [INFO] Cluster 40: 348 molecules
2025-10-24 23:14:27 [INFO] Cluster 41: 96 molecules
2025-10-24 23:14:27 [INFO] Cluster 42: 57 molecules
2025-10-24 23:14:27 [INFO] Cluster 43: 80 molecules
2025-10-24 23:14:27 [INFO] Cluster 44: 61 molecules
2025-10-24 23:14:27 [INFO] Cluster 45: 57 molecules
2025-10-24 23:14:27 [INFO] Cluster 46: 73 molecules
2025-10-24 23:14:27 [INFO] Cluster 47: 160 molecules
2025-10-24 23:14:27 [INFO] Cluster 48: 116 molecules
2025-10-24 23:14:27 [INFO] Cluster 49: 51 molecules
2025-10-24 23:14:27 [INFO] Cluster 50: 74 molecules
2025-10-24 23:14:27 [INFO] Cluster 51: 102 molecules
2025-10-24 23:14:27 [INFO] Cluster 52: 56 molecules
2025-10-24 23:14:27 [INFO] Cluster 53: 287 molecules
2025-10-24 23:14:27 [INFO] Cluster 54: 76 molecules
2025-10-24 23:14:27 [INFO] Cluster 55: 80 molecules
2025-10-24 23:14:27 [INFO] Cluster 56: 58 molecules
2025-10-24 23:14:27 [INFO] Cluster 57: 143 molecules
2025-10-24 23:14:27 [INFO] Cluster 58: 89 molecules
2025-10-24 23:14:27 [INFO] Cluster 59: 53 molecules
2025-10-24 23:14:27 [INFO] Cluster 60: 150 molecules
2025-10-24 23:14:27 [INFO] Cluster 61: 79 molecules
2025-10-24 23:14:27 [INFO] Cluster 62: 322 molecules
2025-10-24 23:14:27 [INFO] Cluster 63: 128 molecules
2025-10-24 23:14:27 [INFO] Cluster 64: 70 molecules
2025-10-24 23:14:27 [INFO] Cluster 65: 70 molecules
2025-10-24 23:14:27 [INFO] Cluster 66: 55 molecules
2025-10-24 23:14:27 [INFO] Cluster 67: 670 molecules
2025-10-24 23:14:27 [INFO] Cluster 68: 50 molecules
2025-10-24 23:14:27 [INFO] Cluster 69: 340 molecules
2025-10-24 23:14:27 [INFO] Cluster 70: 79 molecules
2025-10-24 23:14:27 [INFO] Cluster 71: 196 molecules
2025-10-24 23:14:27 [INFO] Cluster 72: 63 molecules
2025-10-24 23:14:27 [INFO] Cluster 73: 87 molecules
2025-10-24 23:14:27 [INFO] Cluster 74: 305 molecules
2025-10-24 23:14:27 [INFO] Cluster 75: 310 molecules
2025-10-24 23:14:27 [INFO] Cluster 76: 105 molecules
2025-10-24 23:14:27 [INFO] Cluster 77: 119 molecules
2025-10-24 23:14:27 [INFO] Cluster 78: 222 molecules
2025-10-24 23:14:27 [INFO] Cluster 79: 382 molecules
2025-10-24 23:14:27 [INFO] Cluster 80: 116 molecules
2025-10-24 23:14:27 [INFO] Cluster 81: 60 molecules
2025-10-24 23:14:27 [INFO] Cluster 82: 115 molecules
2025-10-24 23:14:27 [INFO] Cluster 83: 322 molecules
2025-10-24 23:14:27 [INFO] Cluster 84: 170 molecules
2025-10-24 23:14:27 [INFO] Cluster 85: 409 molecules
2025-10-24 23:14:27 [INFO] Cluster 86: 458 molecules
2025-10-24 23:14:27 [INFO] Cluster 87: 96 molecules
2025-10-24 23:14:27 [INFO] Cluster 88: 94 molecules
2025-10-24 23:14:27 [INFO] Cluster 89: 273 molecules
2025-10-24 23:14:27 [INFO] Cluster 90: 240 molecules
2025-10-24 23:14:27 [INFO] Cluster 91: 72 molecules
