Test MSE,Train loss,Valid MSE,epoch,step
,,1.1654657125473022,0,104
,0.8956352472305298,,0,104
,,1.1403601169586182,1,209
,0.8088741302490234,,1,209
,,1.1057090759277344,2,314
,0.7826084494590759,,2,314
,,1.0913848876953125,3,419
,0.742760181427002,,3,419
,,1.055917739868164,4,524
,0.7201418280601501,,4,524
,,1.0511603355407715,5,629
,0.7037245631217957,,5,629
,,1.01912522315979,6,734
,0.6851106882095337,,6,734
,,0.9754207730293274,7,839
,0.6533467173576355,,7,839
,,0.9686819314956665,8,944
,0.6315370202064514,,8,944
,,0.9858338236808777,9,1049
,0.6085798740386963,,9,1049
,,0.9093078970909119,10,1154
,0.5881866216659546,,10,1154
,,0.9040166139602661,11,1259
,0.5823864936828613,,11,1259
,,0.8709196448326111,12,1364
,0.5617424845695496,,12,1364
,,0.850480318069458,13,1469
,0.5520365238189697,,13,1469
,,0.8281800746917725,14,1574
,0.5339096188545227,,14,1574
,,0.8305877447128296,15,1679
,0.5258793234825134,,15,1679
,,0.8859845399856567,16,1784
,0.5139486789703369,,16,1784
,,0.8763960003852844,17,1889
,0.5043736696243286,,17,1889
,,0.8996767997741699,18,1994
,0.49249500036239624,,18,1994
,,0.8813496232032776,19,2099
,0.47357550263404846,,19,2099
,,0.7925402522087097,20,2204
,0.4551486074924469,,20,2204
,,0.8235095143318176,21,2309
,0.462557852268219,,21,2309
,,0.7353771328926086,22,2414
,0.44948363304138184,,22,2414
,,0.7472494840621948,23,2519
,0.4380861222743988,,23,2519
,,0.8116915225982666,24,2624
,0.43116095662117004,,24,2624
,,0.7604618072509766,25,2729
,0.4379572868347168,,25,2729
,,0.7357164621353149,26,2834
,0.4225690960884094,,26,2834
,,0.766931414604187,27,2939
,0.4174406826496124,,27,2939
,,0.9076456427574158,28,3044
,0.42280104756355286,,28,3044
,,0.7790387868881226,29,3149
,0.41331803798675537,,29,3149
,,0.8090234398841858,30,3254
,0.39969563484191895,,30,3254
,,0.7352873086929321,31,3359
,0.39860278367996216,,31,3359
